artist;album;release_date;userscore;metascore;link_album;link_img
Patty Griffin;Servant of Love;2015-09-25;73;82;https://www.metacritic.com/music/servant-of-love/patty-griffin;https://static.metacritic.com/images/products/music/8/ca10bbab49846e1208d692da0c1c28e6-98.jpg
Dan Friel;Life;2015-10-16;59;82;https://www.metacritic.com/music/life/dan-friel;https://static.metacritic.com/images/products/music/0/a2e65d4f59952998bb8fe99bb22d39fe-98.jpg
Panda Bear;Panda Bear Meets the Grim Reaper;2015-01-13;80;82;https://www.metacritic.com/music/panda-bear-meets-the-grim-reaper/panda-bear;https://static.metacritic.com/images/products/music/3/aace09b3ccb2b26a86ed85e34a8dd879-98.jpg
High on Fire;Luminiferous;2015-06-16;72;82;https://www.metacritic.com/music/luminiferous/high-on-fire;https://static.metacritic.com/images/products/music/8/cfb814b2ef11eaf4bd6d4286b7bbf0fa-98.jpg
Zun Zun Egui;Shackles Gift;2015-01-27;73;82;https://www.metacritic.com/music/shackles-gift/zun-zun-egui;https://static.metacritic.com/images/products/music/0/2937bb5c9792f4fd602c38aecb0a5d2b-98.jpg
Roebuck "Pops" Staples;Don't Lose This;2015-02-17;null;82;https://www.metacritic.com/music/dont-lose-this/roebuck-pops-staples;https://static.metacritic.com/images/products/music/2/8bba9112c30ea3779c887df6041c7b2f-98.jpg
Prurient;Frozen Niagara Falls;2015-05-12;75;82;https://www.metacritic.com/music/frozen-niagara-falls/prurient;https://static.metacritic.com/images/products/music/3/32c1316088514fbb2260110bb9e3db35-98.jpg
Coliseum;Anxiety's Kiss;2015-05-05;null;82;https://www.metacritic.com/music/anxietys-kiss/coliseum;https://static.metacritic.com/images/products/music/1/dd23d5fffb0376c30b0f282b7a458f55-98.jpg
Bob Dylan;Shadows in the Night;2015-02-03;76;82;https://www.metacritic.com/music/shadows-in-the-night/bob-dylan;https://static.metacritic.com/images/products/music/9/8bb97ae46779fd4ba0bfb87bcd0b1924-98.jpg
Bill Wells;The Most Important Place in the World;2015-03-16;null;82;https://www.metacritic.com/music/the-most-important-place-in-the-world/bill-wells;https://static.metacritic.com/images/products/music/7/a57349ce93b593c3ada065af277212a0-98.jpg
The Pre New;Male Eunuch;2015-05-11;null;82;https://www.metacritic.com/music/male-eunuch/the-pre-new;https://static.metacritic.com/images/products/music/1/b469c2091dbddf1e3ec744ae5a984fe7-98.jpg
Empress Of;Me;2015-09-11;84;82;https://www.metacritic.com/music/me/empress-of;https://static.metacritic.com/images/products/music/5/73e4b59e46eb686976ed5eb89a6c7f5b-98.jpg
Dr. Dre;Compton;2015-08-07;83;82;https://www.metacritic.com/music/compton/dr-dre;https://static.metacritic.com/images/products/music/6/73c7d860e375ae56429ddb3c40197153-98.jpg
Africa Express;Africa Express Presents...Terry Riley's In C Mali;2015-01-26;null;82;https://www.metacritic.com/music/africa-express-presentsterry-rileys-in-c-mali/africa-express;https://static.metacritic.com/images/products/music/6/ab5b53fce1fb1470c239af9d0b3f7868-98.jpg
John Grant;Grey Tickles, Black Pressure;2015-10-09;76;82;https://www.metacritic.com/music/grey-tickles-black-pressure/john-grant;https://static.metacritic.com/images/products/music/0/1140db5ff3663648170950648abf83a5-98.jpg
M.E.S.H.;Piteous Gate;2015-07-31;null;82;https://www.metacritic.com/music/piteous-gate/mesh;https://static.metacritic.com/images/products/music/7/5820a0d833a72fed54327accb5c59966-98.jpg
Mount Eerie;Sauna;2015-02-03;78;82;https://www.metacritic.com/music/sauna/mount-eerie;https://static.metacritic.com/images/products/music/8/ae7e17f1e48aeebee1606f0f5a540c0d-98.jpg
Thee Oh Sees;Mutilator Defeated at Last;2015-05-26;85;82;https://www.metacritic.com/music/mutilator-defeated-at-last/thee-oh-sees;https://static.metacritic.com/images/products/music/5/e88b2783415dd5805b67523c0d8d82b4-98.jpg
Zu;Cortar Todo;2015-03-23;null;82;https://www.metacritic.com/music/cortar-todo/zu;https://static.metacritic.com/images/products/music/4/114e2dd828abd4cf61de5e3f8bc5ef49-98.jpg
Gaz Coombes;Matador;2015-01-26;84;82;https://www.metacritic.com/music/matador/gaz-coombes;https://static.metacritic.com/images/products/music/6/67aceed6f6986f43d44558eaee1d8734-98.jpg
Tal National;Zoy Zoy;2015-04-13;null;82;https://www.metacritic.com/music/zoy-zoy/tal-national;https://static.metacritic.com/images/products/music/4/04f880dd4e697719f765e5098f7aadd4-98.jpg
Deerhunter;Fading Frontier;2015-10-16;84;81;https://www.metacritic.com/music/fading-frontier/deerhunter;https://static.metacritic.com/images/products/music/3/8ba0b52fbb4e70a5567d21a94e868f3a-98.jpg
Sarah Neufeld;Never Were the Way She Was;2015-04-28;76;81;https://www.metacritic.com/music/never-were-the-way-she-was/colin-stetson;https://static.metacritic.com/images/products/music/6/0d113288da69b5d1d02e5c60e3f51347-98.jpg
