artist;album;url
H.E.R.;H.E.R.;https://www.metacritic.com/music/her/her
Cardi B;Invasion of Privacy;https://www.metacritic.com/music/invasion-of-privacy/cardi-b
Drake;Scorpion;https://www.metacritic.com/music/scorpion/drake
Billie Eilish;When We All Fall Asleep, Where Do We Go?;https://www.metacritic.com/music/when-we-all-fall-asleep-where-do-we-go/billie-eilish
Lizzo;Cuz I Love You (Deluxe);https://www.metacritic.com/music/cuz-i-love-you/lizzo
Vampire Weekend;Father of the Bride;https://www.metacritic.com/music/father-of-the-bride/vampire-weekend
Bon Iver;I, I;https://www.metacritic.com/music/i-i/bon-iver
H.E.R.;I Used to Know Her;https://www.metacritic.com/music/i-used-to-know-her/her
Lana Del Rey;Norman Fucking Rockwell!;https://www.metacritic.com/music/norman-fucking-rockwell!/lana-del-rey
Lil Nas X;7;https://www.metacritic.com/music/7-ep/lil-nas-x
Ariana Grande;Thank U, Next;https://www.metacritic.com/music/thank-u-next/ariana-grande
