artist;album;release_date;userscore;metascore;link_album;link_img
Eminem;Recovery;2010-06-22;83;63;https://www.metacritic.com/music/recovery/eminem;https://static.metacritic.com/images/products/music/1/c29497c19b7d9ca1fa5f97b128a53677-98.jpg
Katy Perry;Teenage Dream;2010-08-24;80;52;https://www.metacritic.com/music/teenage-dream/katy-perry;https://static.metacritic.com/images/products/music/8/e3eb2379873a2dd41794294eed50317a-98.jpg
Adele;21;2011-02-22;82;76;https://www.metacritic.com/music/21/adele;https://static.metacritic.com/images/products/music/3/8a8b88a5f3aac1d601c1db135b2c96e7-98.jpg
Lady Gaga;Born This Way;2011-05-23;83;71;https://www.metacritic.com/music/born-this-way/lady-gaga;https://static.metacritic.com/images/products/music/8/e6465bde5aa3fd909fea94995ff4edca-98.jpg
Bruno Mars;Doo-Wops and Hooligans;2010-10-05;68;61;https://www.metacritic.com/music/doo-wops-and-hooligans/bruno-mars;https://static.metacritic.com/images/products/music/3/92e80eae12b755ccd3b161091c2954e4-98.jpg
Rihanna;Loud;2010-11-16;79;67;https://www.metacritic.com/music/loud/rihanna;https://static.metacritic.com/images/products/music/98w-release.jpg
Foo Fighters;Wasting Light;2011-04-12;88;78;https://www.metacritic.com/music/wasting-light/foo-fighters;https://static.metacritic.com/images/products/music/9/771f8738c553729cc5664a454de7fc7e-98.jpg
Mumford & Sons;Babel;2012-09-25;69;63;https://www.metacritic.com/music/babel/mumford-sons;https://static.metacritic.com/images/products/music/2/c908908cea1b598916ff453b1fd1d3ad-98.jpg
Jack White;Blunderbuss;2012-04-24;85;83;https://www.metacritic.com/music/blunderbuss/jack-white;https://static.metacritic.com/images/products/music/7/1cb7721c94a5c93fc481601af699b548-98.jpg
Frank Ocean;Channel Orange;2012-07-17;89;92;https://www.metacritic.com/music/channel-orange/frank-ocean;https://static.metacritic.com/images/products/music/0/596ec57cefdbf2d2e20b581ea0e1a62e-98.jpg
The Black Keys;El Camino;2011-12-06;86;84;https://www.metacritic.com/music/el-camino/the-black-keys;https://static.metacritic.com/images/products/music/8/225ef9dce0b25683e63ad503df1434e4-98.jpg
Fun.;Some Nights;2012-02-21;74;60;https://www.metacritic.com/music/some-nights/fun;https://static.metacritic.com/images/products/music/3/dd6473449220c90e22297f237bc76220-98.jpg
Daft Punk;Random Access Memories;2013-05-21;84;87;https://www.metacritic.com/music/random-access-memories/daft-punk;https://static.metacritic.com/images/products/music/1/89c108cf39d91fb83cdffbffcbf98443-98.jpg
Sara Bareilles;The  Blessed Unrest;2013-07-16;89;68;https://www.metacritic.com/music/the-blessed-unrest/sara-bareilles;https://static.metacritic.com/images/products/music/6/6015d96fb0d4ad09d37a4bbdeb83c189-98.jpg
Kendrick Lamar;Good Kid, M.A.A.D City;2012-10-22;89;91;https://www.metacritic.com/music/good-kid-maad-city/kendrick-lamar;https://static.metacritic.com/images/products/music/0/ea59796eebb9ef428499475c68123c0f-98.jpg
Ryan Lewis;The  Heist;2012-10-09;76;74;https://www.metacritic.com/music/the-heist/ryan-lewis;https://static.metacritic.com/images/products/music/2/f7f4e066b229764ff6903096b2c56f2d-98.jpg
Taylor Swift;Red;2012-10-22;86;77;https://www.metacritic.com/music/red/taylor-swift;https://static.metacritic.com/images/products/music/8/9daea822f17f4aef470e1885bd6d0dd8-98.jpg
Beck;Morning Phase;2014-02-25;83;81;https://www.metacritic.com/music/morning-phase/beck;https://static.metacritic.com/images/products/music/7/c75272df6b1e492e3918af928f79c75e-98.jpg
Beyoncé;Beyoncé;2013-12-13;83;85;https://www.metacritic.com/music/beyonce/beyonce;https://static.metacritic.com/images/products/music/6/895e24d13dcad977ba6bc48ad689475c-98.jpg
Pharrell Williams;G I R L;2014-03-03;68;67;https://www.metacritic.com/music/g-i-r-l/pharrell-williams;https://static.metacritic.com/images/products/music/8/684a3f7aa3bebec5bf83d397af7f176a-98.jpg
Sam Smith;In the Lonely Hour;2014-06-17;68;62;https://www.metacritic.com/music/in-the-lonely-hour/sam-smith;https://static.metacritic.com/images/products/music/1/c733e2c13f501861ff18dfbdb0a22295-98.jpg
Ed Sheeran;X;2014-06-23;74;67;https://www.metacritic.com/music/x/ed-sheeran;https://static.metacritic.com/images/products/music/8/8c12349d68ea32a81dd4b6d2bbd5bcaf-98.jpg
Taylor Swift;1989;2014-10-27;82;76;https://www.metacritic.com/music/1989/taylor-swift;https://static.metacritic.com/images/products/music/7/37d41a1210252e00054ab77139189533-98.jpg
The Weeknd;Beauty Behind the Madness;2015-08-28;83;74;https://www.metacritic.com/music/beauty-behind-the-madness/the-weeknd;https://static.metacritic.com/images/products/music/0/7855d81e7df3983ca6e88306380bf592-98.jpg
Alabama Shakes;Sound & Color;2015-04-21;82;80;https://www.metacritic.com/music/sound-color/alabama-shakes;https://static.metacritic.com/images/products/music/3/4cd42b8c1fe97432de72577ceffa320d-98.jpg
Kendrick Lamar;To Pimp A Butterfly;2015-03-16;89;96;https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar;https://static.metacritic.com/images/products/music/3/323ffc6b09737dc2dbb7d511772466e0-98.jpg
Chris Stapleton;Traveller;2015-05-04;88;85;https://www.metacritic.com/music/traveller/chris-stapleton;https://static.metacritic.com/images/products/music/9/9b731d50a961d6de5d7c128beadfd93b-98.jpg
Adele;25;2015-11-20;77;75;https://www.metacritic.com/music/25/adele;https://static.metacritic.com/images/products/music/0/e01db4f3cebe6ebe00f985fdb4edfc90-98.jpg
Beyoncé;Lemonade;2016-04-23;80;92;https://www.metacritic.com/music/lemonade/beyonce;https://static.metacritic.com/images/products/music/9/db45c5f14e2271eda363d1dcc264f384-98.jpg
Justin Bieber;Purpose;2015-11-13;67;63;https://www.metacritic.com/music/purpose/justin-bieber;https://static.metacritic.com/images/products/music/9/e4edfea05c885a2bbc40059188c29fcf-98.jpg
Sturgill Simpson;A Sailor's Guide to Earth;2016-04-15;82;86;https://www.metacritic.com/music/a-sailors-guide-to-earth/sturgill-simpson;https://static.metacritic.com/images/products/music/4/7750d7a1b72c28f326a5c4c57cfa3fec-98.jpg
Drake;VIEWS;2016-04-29;57;69;https://www.metacritic.com/music/views/drake;https://static.metacritic.com/images/products/music/0/bdf94f91dc29bb80d0976016aa59480e-98.jpg
Bruno Mars;24K Magic;2016-11-18;65;70;https://www.metacritic.com/music/24k-magic/bruno-mars;https://static.metacritic.com/images/products/music/0/e524f4124cc1864d4c2a1a7a580a2518-98.jpg
Childish Gambino;"Awaken, My Love!";2016-12-02;85;77;https://www.metacritic.com/music/awaken-my-love!/childish-gambino;https://static.metacritic.com/images/products/music/8/f2fec46a33c2315b5ec18544868ff86e-98.jpg
Kendrick Lamar;DAMN.;2017-04-14;84;95;https://www.metacritic.com/music/damn/kendrick-lamar;https://static.metacritic.com/images/products/music/1/413ce2e1200981ad7114c3b04836378a-98.jpg
Jay-Z;4:44;2017-06-30;74;82;https://www.metacritic.com/music/444/jay-z;https://static.metacritic.com/images/products/music/6/f58a7c301daf74934dd4d794d71264b1-98.jpg
Lorde;Melodrama;2017-06-16;89;91;https://www.metacritic.com/music/melodrama/lorde;https://static.metacritic.com/images/products/music/8/ec2e1bb028ec6ed6784d06baf9758ee9-98.jpg
Kacey Musgraves;Golden Hour;2018-03-30;88;89;https://www.metacritic.com/music/golden-hour/kacey-musgraves;https://static.metacritic.com/images/products/music/8/56bc63c3ae4603064901833bf261c47f-98.jpg
Post Malone;Beerbongs & Bentleys;2018-04-27;64;51;https://www.metacritic.com/music/beerbongs-bentleys/post-malone;https://static.metacritic.com/images/products/music/2/0850a35e6111f404a846d9b8392e9a67-98.jpg
Original Soundtrack;Black Panther: The Album;2018-02-09;78;80;https://www.metacritic.com/music/black-panther-the-album/original-soundtrack;https://static.metacritic.com/images/products/music/8/605e8d6fd7e17933116909f86cfc57e5-98.jpg
Brandi Carlile;By the Way I Forgive You;2018-02-16;81;81;https://www.metacritic.com/music/by-the-way-i-forgive-you/brandi-carlile;https://static.metacritic.com/images/products/music/6/71785ae9f163a3552dd4eb298b143b7d-98.jpg
Janelle Monáe;Dirty Computer;2018-04-27;86;87;https://www.metacritic.com/music/dirty-computer/janelle-monae;https://static.metacritic.com/images/products/music/5/fc8d2424f968802c812e8c9c10408bb8-98.jpg
Cardi B;Invasion of Privacy;2018-04-06;68;84;https://www.metacritic.com/music/invasion-of-privacy/cardi-b;https://static.metacritic.com/images/products/music/5/13ae23b65818f08e010768661aabd04e-98.jpg
Drake;Scorpion;2018-06-29;39;67;https://www.metacritic.com/music/scorpion/drake;https://static.metacritic.com/images/products/music/4/80ef2fc81faa60cf43c25a5851d4d666-98.jpg
Billie Eilish;When We All Fall Asleep, Where Do We Go?;2019-03-29;75;82;https://www.metacritic.com/music/when-we-all-fall-asleep-where-do-we-go/billie-eilish;https://static.metacritic.com/images/products/music/5/366aa74f2dbadbcfc94965f7c53ea987-98.jpg
Lizzo;Cuz I Love You;2019-04-19;76;84;https://www.metacritic.com/music/cuz-i-love-you/lizzo;https://static.metacritic.com/images/products/music/8/0a7cce6f074f8985d57f7683a3601b11-98.jpg
Vampire Weekend;Father of the Bride;2019-05-03;76;82;https://www.metacritic.com/music/father-of-the-bride/vampire-weekend;https://static.metacritic.com/images/products/music/1/fd0623335b25e6f70b0a660de4e06d66-98.jpg
Bon Iver;I, I;2019-08-30;79;80;https://www.metacritic.com/music/i-i/bon-iver;https://static.metacritic.com/images/products/music/6/67c85add50b516ef4161117f2136bb00-98.jpg
Lana Del Rey;Norman Fucking Rockwell!;2019-08-30;92;87;https://www.metacritic.com/music/norman-fucking-rockwell!/lana-del-rey;https://static.metacritic.com/images/products/music/4/c19f973dc64ad3b1f59a89de80f690fc-98.jpg
Lil Nas X;7 [EP];2019-06-21;49;57;https://www.metacritic.com/music/7-ep/lil-nas-x;https://static.metacritic.com/images/products/music/2/aa08d158d198a7baf29524182f64e71f-98.jpg
Ariana Grande;thank u, next;2019-02-08;75;86;https://www.metacritic.com/music/thank-u-next/ariana-grande;https://static.metacritic.com/images/products/music/7/b21d9988ff4add234c9eb8db8f0b0625-98.jpg
