artist;album;link_img;rank;year
Toby Keith;Greatest Hits 2;https://charts-static.billboard.com/img/2004/11/toby-keith-dle-greatest-hits-2-vgf-53x53.jpg;110;2006
Billy Currington;Doin' Somethin' Right;https://charts-static.billboard.com/img/2005/11/billy-currington-kzk-doin-somethin-right-n50-53x53.jpg;111;2006
Aly & AJ;Into The Rush;https://charts-static.billboard.com/img/2005/09/aly-aj-mjk-into-the-rush-5h4-53x53.jpg;112;2006
Natasha Bedingfield;Unwritten;https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg;113;2006
India.Arie;Testimony: Vol. 1, Life & Relationship;https://charts-static.billboard.com/img/2006/12/indiaarie-7j3-testimony-vol-1-life-and-relationship-kdq-53x53.jpg;114;2006
Fergie;The Dutchess;https://charts-static.billboard.com/img/2006/10/fergie-8pu-the-dutchess-gzp-53x53.jpg;115;2006
Rod Stewart;Thanks For The Memory... The Great American Songbook Vol. IV;https://charts-static.billboard.com/img/2005/11/rod-stewart-icm-thanks-for-the-memory-the-great-american-songbook-vol-iv-k3w-53x53.jpg;116;2006
George Strait;It Just Comes Natural;https://charts-static.billboard.com/img/2006/10/george-strait-6xj-53x53.jpg;117;2006
T-Pain;Rappa Ternt Sanga;https://charts-static.billboard.com/img/2005/12/t-pain-kj8-rappa-ternt-sanga-xok-53x53.jpg;118;2006
Corinne Bailey Rae;Corinne Bailey Rae;https://charts-static.billboard.com/img/2006/07/corinne-bailey-rae-6k0-53x53.jpg;119;2006
Janet Jackson;20 Y.O.;https://charts-static.billboard.com/img/2006/10/janet-jackson-9z4-20-yo-i8q-53x53.jpg;120;2006
Gretchen Wilson;All Jacked Up;https://charts-static.billboard.com/img/2005/08/gretchen-wilson-end-53x53.jpg;121;2006
Heather Headley;In My Mind;https://charts-static.billboard.com/img/2005/10/heather-headley-jlg-53x53.jpg;122;2006
Casting Crowns;Lifesong;https://charts-static.billboard.com/img/2005/08/casting-crowns-h2j-53x53.jpg;123;2006
Taking Back Sunday;Louder Now;https://charts-static.billboard.com/img/2006/05/taking-back-sunday-uid-louder-now-8n9-53x53.jpg;124;2006
Jason Aldean;Jason Aldean;https://charts-static.billboard.com/img/2005/08/jason-aldean-jfn-jason-aldean-jkc-53x53.jpg;125;2006
Ashlee Simpson;I Am Me;https://charts-static.billboard.com/img/2005/11/ashlee-simpson-6ja-i-am-me-7rm-53x53.jpg;126;2006
Miranda Lambert;Kerosene;https://charts-static.billboard.com/img/2005/10/miranda-lambert-mzw-53x53.jpg;127;2006
Buckcherry;15;https://charts-static.billboard.com/img/2006/04/buckcherry-zf7-15-zbc-53x53.jpg;128;2006
Daniel Powter;Daniel Powter;https://charts-static.billboard.com/img/2006/03/daniel-powter-x2o-daniel-powter-htl-53x53.jpg;129;2006
P!nk;I'm Not Dead;https://charts-static.billboard.com/img/2006/04/pnk-it7-im-not-dead-jm4-53x53.jpg;130;2006
Anthony Hamilton;Ain't Nobody Worryin';https://charts-static.billboard.com/img/2005/12/anthony-hamilton-one-aint-nobody-worryin-4zd-53x53.jpg;131;2006
Various Artists;NOW #1's;https://charts-static.billboard.com/img/2006/02/various-artists-000-now-hashtag-1s-uh7-53x53.jpg;132;2006
Matisyahu;Live At Stubb's;https://charts-static.billboard.com/img/2005/05/matisyahu-dzi-live-at-stubbs-90g-53x53.jpg;133;2006
Prince;3121;https://charts-static.billboard.com/img/2006/04/prince-5k7-3121-dzg-53x53.jpg;134;2006
Ice Cube;Laugh Now, Cry Later;https://charts-static.billboard.com/img/2006/06/ice-cube-bw5-laugh-now-cry-later-6dz-53x53.jpg;135;2006
The Wreckers;Stand Still, Look Pretty;https://charts-static.billboard.com/img/2006/06/the-wreckers-3q5-stand-still-look-pretty-ik6-53x53.jpg;136;2006
Il Divo;The Christmas Collection;https://charts-static.billboard.com/img/2005/11/il-divo-9w0-53x53.jpg;137;2006
LeToya;LeToya;https://charts-static.billboard.com/img/2006/08/letoya-luckett-000-letoya-u8z-53x53.jpg;138;2006
Diana Krall Featuring The Clayton/Hamilton Jazz Orchestra;Christmas Songs;https://charts-static.billboard.com/img/2005/11/diana-krall-dcg-christmas-songs-uvz-53x53.jpg;139;2006
Matisyahu;Youth;https://charts-static.billboard.com/img/2006/03/matisyahu-dzi-53x53.jpg;140;2006
E-40;My Ghetto Report Card;https://charts-static.billboard.com/img/2006/04/e-40-gbj-my-ghetto-report-card-6i2-53x53.jpg;141;2006
Bob Seger;Face The Promise;https://charts-static.billboard.com/img/2006/09/bob-seger-moj-face-the-promise-lgv-53x53.jpg;142;2006
Juvenile;Reality Check;https://charts-static.billboard.com/img/2006/03/juvenile-yh3-reality-check-tbq-53x53.jpg;143;2006
Various Artists;WOW Hits 2006;https://charts-static.billboard.com/img/2005/10/various-artists-000-wow-hits-2006-wyr-53x53.jpg;144;2006
Kidz Bop Kids;Kidz Bop 9;https://charts-static.billboard.com/img/2006/03/kidz-bop-kids-vi8-kidz-bop-9-g45-53x53.jpg;145;2006
OutKast;Idlewild (Soundtrack);https://charts-static.billboard.com/img/2006/09/outkast-294-idlewild-soundtrack-xwl-53x53.jpg;146;2006
Death Cab For Cutie;Plans;https://charts-static.billboard.com/img/2005/09/death-cab-for-cutie-sxx-plans-65r-53x53.jpg;147;2006
Sheryl Crow;Wildflower;https://charts-static.billboard.com/img/2005/10/sheryl-crow-ij4-wildflower-6mi-53x53.jpg;148;2006
Green Day;Bullet In A Bible;https://charts-static.billboard.com/img/2005/12/green-day-qwn-bullet-in-a-bible-gcq-53x53.jpg;149;2006
Angels & Airwaves;We Don't Need To Whisper;https://charts-static.billboard.com/img/2006/06/angels-airwaves-s2y-we-dont-need-to-whisper-m8x-53x53.jpg;150;2006
Santana;All That I Am;https://charts-static.billboard.com/img/2005/11/santana-84r-all-that-i-am-60x-53x53.jpg;151;2006
Avenged Sevenfold;City Of Evil;https://charts-static.billboard.com/img/2005/06/avenged-sevenfold-zx1-city-of-evil-pk8-53x53.jpg;152;2006
John Legend;Once Again;https://charts-static.billboard.com/img/2006/11/john-legend-xtz-once-again-fku-53x53.jpg;153;2006
Kidz Bop Kids;Kidz Bop 10;https://charts-static.billboard.com/img/2006/08/kidz-bop-kids-vi8-kidz-bop-10-6jt-53x53.jpg;154;2006
D4L;Down For Life;https://charts-static.billboard.com/img/2005/11/d4l-ba3-down-for-life-psg-53x53.jpg;155;2006
Clay Aiken;A Thousand Different Ways;https://charts-static.billboard.com/img/2006/10/clay-aiken-xl4-a-thousand-different-ways-2s3-53x53.jpg;156;2006
Alan Jackson;Like Red On A Rose;https://charts-static.billboard.com/img/1989/10/alan-jackson-jbt-53x53.jpg;157;2006
Celtic Woman;Celtic Woman;https://charts-static.billboard.com/img/2005/03/celtic-woman-bhi-celtic-woman-jvq-53x53.jpg;158;2006
Creed;Greatest Hits;https://charts-static.billboard.com/img/2004/12/creed-v3y-greatest-hits-78y-53x53.jpg;159;2006
Flyleaf;Flyleaf;https://charts-static.billboard.com/img/2005/11/flyleaf-64u-flyleaf-c75-53x53.jpg;160;2006
Neil Diamond;12 Songs;https://charts-static.billboard.com/img/2005/11/neil-diamond-e2x-12-songs-lf3-53x53.jpg;161;2006
Third Day;Wherever You Are;https://charts-static.billboard.com/img/2005/11/third-day-4m9-wherever-you-are-kez-53x53.jpg;162;2006
Soundtrack;American Idol Season 5: Encores;https://charts-static.billboard.com/img/2006/06/soundtrack-000-american-idol-season-5-encores-ych-53x53.jpg;163;2006
My Chemical Romance;The Black Parade;https://charts-static.billboard.com/img/2006/11/my-chemical-romance-1es-the-black-parade-r04-53x53.jpg;164;2006
Hawthorne Heights;If Only You Were Lonely;https://charts-static.billboard.com/img/2006/03/hawthorne-heights-dxw-if-only-you-were-lonely-vev-53x53.jpg;165;2006
Jaheim;Ghetto Classics;https://charts-static.billboard.com/img/2006/03/jaheim-qvw-ghetto-classics-mdl-53x53.jpg;166;2006
Various Artists;Disneymania 4: Music Stars Sing Disney ...Their Way!;https://charts-static.billboard.com/img/2006/04/various-artists-000-disneymania-4-music-stars-sing-disney-their-way-z6k-53x53.jpg;167;2006
Il Divo;Il Divo;https://charts-static.billboard.com/img/2005/05/il-divo-9w0-il-divo-dqx-53x53.jpg;168;2006
Rod Stewart;Still The Same... Great Rock Classics Of Our Time;https://charts-static.billboard.com/img/2006/10/rod-stewart-icm-still-the-same-great-rock-classics-of-our-time-g26-53x53.jpg;169;2006
Avant;Director;https://charts-static.billboard.com/img/2006/05/avant-fut-director-wva-53x53.jpg;170;2006
Breaking Benjamin;Phobia;https://charts-static.billboard.com/img/2006/08/breaking-benjamin-rch-phobia-m4t-53x53.jpg;171;2006
Three Days Grace;One - X;https://charts-static.billboard.com/img/2006/07/three-days-grace-a00-one-x-stx-53x53.jpg;172;2006
